dt	Hydro_stress	Devia_stress	Theta	Hydro_strain	Devia_strain	Theta_s
0	0	0	0	0	0	0
68	-0.57735	0.816497	60	-1.41855e-05	2.00613e-05	60
34	-1.1547	1.63299	60	-2.84602e-05	4.02488e-05	60
22.6667	-1.73205	2.44949	60	-4.2993e-05	6.08013e-05	60
17	-2.3094	3.26599	60	-5.79206e-05	8.19121e-05	60
13.6	-2.88675	4.08248	60	-7.33303e-05	0.000103705	60
11.3333	-3.4641	4.89898	60	-8.92517e-05	0.000126221	60
9.71429	-4.04145	5.71548	60	-0.000105659	0.000149425	60
8.5	-4.6188	6.53197	60	-0.000122485	0.00017322	60
7.55556	-5.19615	7.34847	60	-0.000139636	0.000197475	60
6.8	-5.7735	8.16497	60	-0.000157016	0.000222054	60
6.18182	-6.35085	8.98146	60	-0.000174537	0.000246833	60
5.66667	-6.9282	9.79796	60	-0.000192133	0.000271718	60
5.23077	-7.50555	10.6145	60	-0.000209758	0.000296643	60
4.85714	-8.0829	11.431	60	-0.000227385	0.000321571	60
4.53333	-8.66025	12.2474	60	-0.000244999	0.000346481	60
4.25	-9.2376	13.0639	60	-0.000262596	0.000371366	60
4	-9.81495	13.8804	60	-0.000280173	0.000396225	60
3.77778	-10.3923	14.6969	60	-0.000297734	0.000421059	60
3.57895	-10.9697	15.5134	60	-0.000315279	0.000445872	60
3.4	-11.547	16.3299	60	-0.000332813	0.000470669	60
3.2381	-12.1244	17.1464	60	-0.000350337	0.000495452	60
3.09091	-12.7017	17.9629	60	-0.000367855	0.000520226	60
2.95652	-13.2791	18.7794	60	-0.00038537	0.000544995	60
2.83333	-13.8564	19.5959	60	-0.000402884	0.000569765	60
2.72	-14.4338	20.4124	60	-0.000420402	0.000594539	60
2.61538	-15.0111	21.2289	60	-0.000437927	0.000619322	60
2.51852	-15.5885	22.0454	60	-0.000455462	0.00064412	60
2.42857	-16.1658	22.8619	60	-0.000473011	0.000668938	60
2.34483	-16.7432	23.6784	60	-0.000490577	0.000693781	60
2.26667	-17.3205	24.4949	60	-0.000508166	0.000718656	60
2.19355	-17.8979	25.3114	60	-0.000525782	0.000743568	60
2.125	-18.4752	26.1279	60	-0.000543428	0.000768524	60
2.06061	-19.0526	26.9444	60	-0.000561111	0.00079353	60
2	-19.6299	27.7609	60	-0.000578834	0.000818595	60
1.94286	-20.2073	28.5774	60	-0.000596604	0.000843726	60
1.88889	-20.7846	29.3939	60	-0.000614427	0.00086893	60
1.83784	-21.362	30.2104	60	-0.000632307	0.000894218	60
1.78947	-21.9393	31.0269	60	-0.000650253	0.000919597	60
1.74359	-22.5167	31.8434	60	-0.000668271	0.000945078	60
1.7	-23.094	32.6599	60	-0.000686368	0.000970672	60
1.65854	-23.6714	33.4764	60	-0.000704553	0.000996389	60
1.61905	-24.2487	34.2929	60	-0.000722834	0.00102224	60
1.5814	-24.8261	35.1094	60	-0.000741221	0.00104824	60
1.54545	-25.4034	35.9258	60	-0.000759723	0.00107441	60
1.51111	-25.9808	36.7423	60	-0.000778351	0.00110075	60
1.47826	-26.5581	37.5588	60	-0.000797117	0.00112729	60
1.44681	-27.1355	38.3753	60	-0.000816034	0.00115405	60
1.41667	-27.7128	39.1918	60	-0.000835116	0.00118103	60
1.38776	-28.2902	40.0083	60	-0.000854377	0.00120827	60
1.36	-28.8675	40.8248	60	-0.000873836	0.00123579	60
1.33333	-29.4449	41.6413	60	-0.000893509	0.00126361	60
1.30769	-30.0222	42.4578	60	-0.000913418	0.00129177	60
1.28302	-30.5996	43.2743	60	-0.000933586	0.00132029	60
1.25926	-31.1769	44.0908	60	-0.000954037	0.00134921	60
1.23636	-31.7543	44.9073	60	-0.000974801	0.00137858	60
1.21429	-32.3316	45.7238	60	-0.000995909	0.00140843	60
1.19298	-32.909	46.5403	60	-0.0010174	0.00143882	60
1.17241	-33.4863	47.3568	60	-0.00103931	0.00146981	60
1.15254	-34.0637	48.1733	60	-0.0010617	0.00150147	60
1.13333	-34.641	48.9898	60	-0.00108461	0.00153387	60
1.11475	-35.2184	49.8063	60	-0.00110812	0.00156712	60
1.09677	-35.7957	50.6228	60	-0.0011323	0.00160132	60
1.07937	-36.3731	51.4393	60	-0.00115726	0.00163661	60
1.0625	-36.9504	52.2558	60	-0.0011831	0.00167315	60
1.04615	-37.5278	53.0723	60	-0.00120996	0.00171115	60
1.0303	-38.1051	53.8888	60	-0.00123804	0.00175086	60
1.01493	-38.6825	54.7053	60	-0.00126757	0.00179262	60
