Elastic_Modulus_1	Elastic_Modulus_2	Elastic_Modulus_3Poisson_ratio_12	Poisson_ratio_13	Poisson_ratio_23
40700	40700	40700	0.3	0.3	0.3
40445.7	40700	40700	0.3	0.3	0.3
39727.3	40700	40700	0.3	0.3	0.3
38676.7	40700	40700	0.3	0.3	0.3
37466.8	40700	40700	0.3	0.3	0.3
36262.6	40700	40700	0.3	0.3	0.3
35188	40700	40700	0.3	0.3	0.3
34313.8	40700	40700	0.3	0.3	0.3
33662.4	40700	40700	0.3	0.3	0.3
33220	40700	40700	0.3	0.3	0.3
32951	40700	40700	0.3	0.3	0.3
32811.1	40700	40700	0.3	0.3	0.3
32757.3	40700	40700	0.3	0.3	0.3
32754.5	40700	40700	0.3	0.3	0.3
32777.6	40700	40700	0.3	0.3	0.3
32810.8	40700	40700	0.3	0.3	0.3
32845.6	40700	40700	0.3	0.3	0.3
32877.8	40700	40700	0.3	0.3	0.3
32905.6	40700	40700	0.3	0.3	0.3
32928.4	40700	40700	0.3	0.3	0.3
32945.8	40700	40700	0.3	0.3	0.3
32957.7	40700	40700	0.3	0.3	0.3
32963.7	40700	40700	0.3	0.3	0.3
32963.8	40700	40700	0.3	0.3	0.3
32957.7	40700	40700	0.3	0.3	0.3
32945.2	40700	40700	0.3	0.3	0.3
32925.9	40700	40700	0.3	0.3	0.3
32899.6	40700	40700	0.3	0.3	0.3
32865.9	40700	40700	0.3	0.3	0.3
32824.6	40700	40700	0.3	0.3	0.3
32775.3	40700	40700	0.3	0.3	0.3
32717.6	40700	40700	0.3	0.3	0.3
32651.1	40700	40700	0.3	0.3	0.3
32575.4	40700	40700	0.3	0.3	0.3
32490.1	40700	40700	0.3	0.3	0.3
32394.8	40700	40700	0.3	0.3	0.3
32288.8	40700	40700	0.3	0.3	0.3
32171.8	40700	40700	0.3	0.3	0.3
32043.2	40700	40700	0.3	0.3	0.3
31902.4	40700	40700	0.3	0.3	0.3
31748.8	40700	40700	0.3	0.3	0.3
31581.8	40700	40700	0.3	0.3	0.3
31400.7	40700	40700	0.3	0.3	0.3
31204.8	40700	40700	0.3	0.3	0.3
30993.3	40700	40700	0.3	0.3	0.3
30765.5	40700	40700	0.3	0.3	0.3
30520.3	40700	40700	0.3	0.3	0.3
30256.9	40700	40700	0.3	0.3	0.3
29974.2	40700	40700	0.3	0.3	0.3
29671.2	40700	40700	0.3	0.3	0.3
29346.7	40700	40700	0.3	0.3	0.3
28999.4	40700	40700	0.3	0.3	0.3
28627.8	40700	40700	0.3	0.3	0.3
28230.5	40700	40700	0.3	0.3	0.3
27805.8	40700	40700	0.3	0.3	0.3
27351.7	40700	40700	0.3	0.3	0.3
26866.2	40700	40700	0.3	0.3	0.3
26346.9	40700	40700	0.3	0.3	0.3
25791.2	40700	40700	0.3	0.3	0.3
25196.2	40700	40700	0.3	0.3	0.3
24558.4	40700	40700	0.3	0.3	0.3
23873.8	40700	40700	0.3	0.3	0.3
23137.9	40700	40700	0.3	0.3	0.3
22345.1	40700	40700	0.3	0.3	0.3
21488.8	40700	40700	0.3	0.3	0.3
20561	40700	40700	0.3	0.3	0.3
19551.6	40700	40700	0.3	0.3	0.3
18447.7	40700	40700	0.3	0.3	0.3
17232.3	40700	40700	0.3	0.3	0.3
15882.1	40700	40700	0.3	0.3	0.3
14363.4	40700	40700	0.3	0.3	0.3
12624.3	40700	40700	0.3	0.3	0.3
10576.7	40700	40700	0.3	0.3	0.3
8046.69	40700	40700	0.3	0.3	0.3
4590.49	40700	40700	0.3	0.3	0.3
-1817.61	40700	40700	0.3	0.3	0.3
-12824.8	40700	40700	0.3	0.3	0.3
-405.769	40700	40700	0.3	0.3	0.3
144683	40700	40700	0.3	0.3	0.3
536884	40700	40700	0.3	0.3	0.3
533213	40700	40700	0.3	0.3	0.3
577164	40700	40700	0.3	0.3	0.3
480801	40700	40700	0.3	0.3	0.3
946093	40700	40700	0.3	0.3	0.3
175299	40700	40700	0.3	0.3	0.3
822297	40700	40700	0.3	0.3	0.3
270093	40700	40700	0.3	0.3	0.3
1.08139e+07	40700	40700	0.3	0.3	0.3
20537.9	40700	40700	0.3	0.3	0.3
19329	40700	40700	0.3	0.3	0.3
18803.8	40700	40700	0.3	0.3	0.3
