dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
-0.0028	0.00305798	0.00152899	0.00264828	-0.00305798	5.4134e-09	0.00152898	-0.00264829
-0.00281	0.00305794	0.00152897	0.00264825	-0.00305794	5.41333e-09	0.00152896	-0.00264826
-0.00282	0.00305782	0.00152891	0.00264815	-0.00305782	5.41312e-09	0.0015289	-0.00264815
-0.00283	0.00305762	0.00152881	0.00264798	-0.00305762	5.41278e-09	0.0015288	-0.00264799
-0.00284	0.00305735	0.00152868	0.00264774	-0.00305735	5.4123e-09	0.00152867	-0.00264775
-0.00285	0.003057	0.0015285	0.00264744	-0.003057	5.41167e-09	0.00152849	-0.00264745
-0.00286	0.00305657	0.00152829	0.00264707	-0.00305657	5.41091e-09	0.00152828	-0.00264707
-0.00287	0.00305606	0.00152803	0.00264663	-0.00305606	5.41002e-09	0.00152802	-0.00264663
-0.00288	0.00305548	0.00152774	0.00264612	-0.00305548	5.40898e-09	0.00152773	-0.00264613
-0.00289	0.00305482	0.00152741	0.00264555	-0.00305482	5.40781e-09	0.0015274	-0.00264555
-0.0029	0.00305407	0.00152704	0.00264491	-0.00305407	5.4065e-09	0.00152703	-0.00264491
-0.00291	0.00305326	0.00152663	0.0026442	-0.00305326	5.40505e-09	0.00152662	-0.0026442
-0.00292	0.00305236	0.00152618	0.00264342	-0.00305236	5.40346e-09	0.00152617	-0.00264343
-0.00293	0.00305138	0.00152569	0.00264258	-0.00305138	5.40173e-09	0.00152568	-0.00264258
-0.00294	0.00305033	0.00152517	0.00264166	-0.00305033	5.39987e-09	0.00152516	-0.00264167
-0.00295	0.0030492	0.0015246	0.00264068	-0.0030492	5.39786e-09	0.00152459	-0.00264069
-0.00296	0.00304799	0.001524	0.00263964	-0.00304799	5.39572e-09	0.00152399	-0.00263964
-0.00297	0.0030467	0.00152335	0.00263852	-0.0030467	5.39345e-09	0.00152334	-0.00263853
-0.00298	0.00304534	0.00152267	0.00263734	-0.00304534	5.39103e-09	0.00152266	-0.00263735
-0.00299	0.00304389	0.00152195	0.00263609	-0.00304389	5.38847e-09	0.00152194	-0.0026361
-0.003	0.00304237	0.00152119	0.00263477	-0.00304237	5.38578e-09	0.00152118	-0.00263478
-0.00301	0.00304077	0.00152039	0.00263339	-0.00304077	5.38295e-09	0.00152038	-0.00263339
-0.00302	0.0030391	0.00151955	0.00263194	-0.0030391	5.37998e-09	0.00151954	-0.00263194
-0.00303	0.00303734	0.00151867	0.00263042	-0.00303734	5.37687e-09	0.00151866	-0.00263042
-0.00304	0.00303551	0.00151775	0.00262883	-0.00303551	5.37363e-09	0.00151774	-0.00262883
-0.00305	0.0030336	0.0015168	0.00262717	-0.0030336	5.37025e-09	0.00151679	-0.00262718
-0.00306	0.00303161	0.0015158	0.00262545	-0.00303161	5.36672e-09	0.00151579	-0.00262545
-0.00307	0.00302954	0.00151477	0.00262366	-0.00302954	5.36306e-09	0.00151476	-0.00262366
-0.00308	0.0030274	0.0015137	0.0026218	-0.0030274	5.35927e-09	0.00151369	-0.00262181
-0.00309	0.00302517	0.00151259	0.00261988	-0.00302517	5.35533e-09	0.00151258	-0.00261988
-0.0031	0.00302287	0.00151144	0.00261788	-0.00302287	5.35126e-09	0.00151143	-0.00261789
-0.00311	0.00302049	0.00151025	0.00261582	-0.00302049	5.34704e-09	0.00151024	-0.00261583
-0.00312	0.00301803	0.00150902	0.00261369	-0.00301803	5.34269e-09	0.00150901	-0.0026137
-0.00313	0.0030155	0.00150775	0.0026115	-0.0030155	5.33821e-09	0.00150774	-0.0026115
-0.00314	0.00301289	0.00150644	0.00260924	-0.00301289	5.33358e-09	0.00150643	-0.00260924
-0.00315	0.00301019	0.0015051	0.0026069	-0.00301019	5.32882e-09	0.00150509	-0.00260691
-0.00316	0.00300743	0.00150371	0.00260451	-0.00300743	5.32391e-09	0.0015037	-0.00260451
-0.00317	0.00300458	0.00150229	0.00260204	-0.00300458	5.31887e-09	0.00150228	-0.00260205
-0.00318	0.00300165	0.00150083	0.00259951	-0.00300165	5.31369e-09	0.00150082	-0.00259951
-0.00319	0.00299865	0.00149932	0.00259691	-0.00299865	5.30838e-09	0.00149932	-0.00259691
-0.0032	0.00299557	0.00149778	0.00259424	-0.00299557	5.30292e-09	0.00149777	-0.00259424
-0.00321	0.00299241	0.0014962	0.0025915	-0.00299241	5.29733e-09	0.00149619	-0.00259151
-0.00322	0.00298917	0.00149459	0.0025887	-0.00298917	5.2916e-09	0.00149458	-0.0025887
-0.00323	0.00298586	0.00149293	0.00258583	-0.00298586	5.28573e-09	0.00149292	-0.00258583
-0.00324	0.00298246	0.00149123	0.00258289	-0.00298246	5.27972e-09	0.00149122	-0.00258289
-0.00325	0.00297899	0.0014895	0.00257988	-0.00297899	5.27358e-09	0.00148949	-0.00257989
-0.00326	0.00297544	0.00148772	0.00257681	-0.00297544	5.26729e-09	0.00148771	-0.00257681
-0.00327	0.00297181	0.00148591	0.00257367	-0.00297181	5.26087e-09	0.0014859	-0.00257367
-0.00328	0.00296811	0.00148405	0.00257046	-0.00296811	5.25431e-09	0.00148405	-0.00257046
-0.00329	0.00296432	0.00148216	0.00256718	-0.00296432	5.24762e-09	0.00148215	-0.00256719
-0.0033	0.00296046	0.00148023	0.00256384	-0.00296046	5.24078e-09	0.00148022	-0.00256384
-0.00331	0.00295652	0.00147826	0.00256042	-0.00295652	5.23381e-09	0.00147825	-0.00256043
-0.00332	0.00295251	0.00147625	0.00255695	-0.00295251	5.22669e-09	0.00147624	-0.00255695
-0.00333	0.00294841	0.00147421	0.0025534	-0.00294841	5.21944e-09	0.0014742	-0.0025534
-0.00334	0.00294424	0.00147212	0.00254978	-0.00294424	5.21206e-09	0.00147211	-0.00254979
-0.00335	0.00293999	0.00146999	0.0025461	-0.00293999	5.20453e-09	0.00146998	-0.00254611
-0.00336	0.00293566	0.00146783	0.00254235	-0.00293566	5.19686e-09	0.00146782	-0.00254236
-0.00337	0.00293125	0.00146562	0.00253854	-0.00293125	5.18906e-09	0.00146562	-0.00253854
-0.00338	0.00292676	0.00146338	0.00253465	-0.00292676	5.18112e-09	0.00146337	-0.00253466
-0.00339	0.0029222	0.0014611	0.0025307	-0.0029222	5.17304e-09	0.00146109	-0.0025307
-0.0034	0.00291756	0.00145878	0.00252668	-0.00291756	5.16483e-09	0.00145877	-0.00252668
-0.00341	0.00291284	0.00145642	0.00252259	-0.00291284	5.15647e-09	0.00145641	-0.0025226
-0.00342	0.00290804	0.00145402	0.00251844	-0.00290804	5.14798e-09	0.00145401	-0.00251844
-0.00343	0.00290317	0.00145158	0.00251421	-0.00290317	5.13935e-09	0.00145157	-0.00251422
-0.00344	0.00289821	0.00144911	0.00250992	-0.00289821	5.13058e-09	0.0014491	-0.00250993
-0.00345	0.00289318	0.00144659	0.00250557	-0.00289318	5.12167e-09	0.00144658	-0.00250557
-0.00346	0.00288807	0.00144404	0.00250114	-0.00288807	5.11263e-09	0.00144403	-0.00250115
-0.00347	0.00288288	0.00144144	0.00249665	-0.00288288	5.10344e-09	0.00144143	-0.00249665
-0.00348	0.00287762	0.00143881	0.00249209	-0.00287762	5.09412e-09	0.0014388	-0.00249209
-0.00349	0.00287227	0.00143614	0.00248746	-0.00287227	5.08466e-09	0.00143613	-0.00248747
-0.0035	0.00286685	0.00143343	0.00248277	-0.00286685	5.07506e-09	0.00143342	-0.00248277
-0.00351	0.00286135	0.00143068	0.002478	-0.00286135	5.06533e-09	0.00143067	-0.00247801
-0.00352	0.00285577	0.00142789	0.00247317	-0.00285577	5.05545e-09	0.00142788	-0.00247318
-0.00353	0.00285012	0.00142506	0.00246828	-0.00285012	5.04544e-09	0.00142505	-0.00246828
-0.00354	0.00284439	0.00142219	0.00246331	-0.00284439	5.03529e-09	0.00142218	-0.00246331
-0.00355	0.00283857	0.00141929	0.00245828	-0.00283857	5.025e-09	0.00141928	-0.00245828
-0.00356	0.00283268	0.00141634	0.00245318	-0.00283268	5.01458e-09	0.00141633	-0.00245318
-0.00357	0.00282672	0.00141336	0.00244801	-0.00282672	5.00401e-09	0.00141335	-0.00244801
-0.00358	0.00282067	0.00141034	0.00244277	-0.00282067	4.99331e-09	0.00141033	-0.00244278
-0.00359	0.00281455	0.00140727	0.00243747	-0.00281455	4.98247e-09	0.00140726	-0.00243747
-0.0036	0.00280834	0.00140417	0.0024321	-0.00280834	4.97149e-09	0.00140416	-0.0024321
-0.00361	0.00280206	0.00140103	0.00242666	-0.00280206	4.96037e-09	0.00140102	-0.00242666
-0.00362	0.00279571	0.00139785	0.00242115	-0.00279571	4.94912e-09	0.00139784	-0.00242116
-0.00363	0.00278927	0.00139464	0.00241558	-0.00278927	4.93773e-09	0.00139463	-0.00241558
-0.00364	0.00278276	0.00139138	0.00240994	-0.00278276	4.92619e-09	0.00139137	-0.00240994
-0.00365	0.00277617	0.00138808	0.00240423	-0.00277617	4.91453e-09	0.00138807	-0.00240423
-0.00366	0.0027695	0.00138475	0.00239845	-0.0027695	4.90272e-09	0.00138474	-0.00239846
-0.00367	0.00276275	0.00138137	0.00239261	-0.00276275	4.89077e-09	0.00138137	-0.00239261
-0.00368	0.00275592	0.00137796	0.0023867	-0.00275592	4.87869e-09	0.00137795	-0.0023867
-0.00369	0.00274902	0.00137451	0.00238072	-0.00274902	4.86647e-09	0.0013745	-0.00238072
-0.0037	0.00274204	0.00137102	0.00237467	-0.00274204	4.85411e-09	0.00137101	-0.00237468
-0.00371	0.00273498	0.00136749	0.00236856	-0.00273498	4.84161e-09	0.00136748	-0.00236856
-0.00372	0.00272784	0.00136392	0.00236238	-0.00272784	4.82897e-09	0.00136391	-0.00236238
-0.00373	0.00272062	0.00136031	0.00235613	-0.00272062	4.8162e-09	0.0013603	-0.00235613
