dHydro_strain	Plot_devia_strain	X1	Y1	X2	Y2	X3	Y3
0.000808081	0	0	0	-0	0	0	-0
0.000798081	0.0359703	0.0179852	0.0311512	-0.0359703	6.36767e-08	0.017985	-0.0311513
0.000788081	0.0516073	0.0258036	0.0446932	-0.0516073	9.13581e-08	0.0258035	-0.0446933
0.000778081	0.0636103	0.0318051	0.0550881	-0.0636103	1.12606e-07	0.0318049	-0.0550882
0.000768081	0.0737307	0.0368654	0.0638527	-0.0737307	1.30522e-07	0.0368651	-0.0638528
0.000758081	0.0826477	0.0413238	0.071575	-0.0826477	1.46308e-07	0.0413236	-0.0715752
0.000748081	0.0907097	0.0453548	0.0785569	-0.0907097	1.60579e-07	0.0453546	-0.078557
0.000738081	0.0981237	0.0490618	0.0849776	-0.0981237	1.73704e-07	0.0490615	-0.0849778
0.000728081	0.105025	0.0525123	0.090954	-0.105025	1.85921e-07	0.052512	-0.0909542
0.000718081	0.111506	0.0557532	0.0965673	-0.111506	1.97395e-07	0.0557528	-0.0965675
0.000708081	0.117637	0.0588184	0.101877	-0.117637	2.08247e-07	0.0588181	-0.101877
0.000698081	0.123468	0.061734	0.106926	-0.123468	2.1857e-07	0.0617336	-0.106927
0.000688081	0.12904	0.0645198	0.111751	-0.12904	2.28433e-07	0.0645194	-0.111752
0.000678081	0.134383	0.0671917	0.116379	-0.134383	2.37893e-07	0.0671913	-0.11638
0.000668081	0.139525	0.0697627	0.120833	-0.139525	2.46996e-07	0.0697623	-0.120833
0.000658081	0.144487	0.0722435	0.125129	-0.144487	2.55779e-07	0.0722431	-0.12513
0.000648081	0.149286	0.0746429	0.129285	-0.149286	2.64274e-07	0.0746424	-0.129285
0.000638081	0.153937	0.0769683	0.133313	-0.153937	2.72507e-07	0.0769679	-0.133313
0.000628081	0.158453	0.0792264	0.137224	-0.158453	2.80502e-07	0.0792259	-0.137224
0.000618081	0.162845	0.0814226	0.141028	-0.162845	2.88278e-07	0.0814221	-0.141028
0.000608081	0.167123	0.0835617	0.144733	-0.167123	2.95851e-07	0.0835611	-0.144733
0.000598081	0.171296	0.0856479	0.148347	-0.171296	3.03238e-07	0.0856474	-0.148347
0.000588081	0.17537	0.0876851	0.151875	-0.17537	3.1045e-07	0.0876845	-0.151875
0.000578081	0.179353	0.0896764	0.155324	-0.179353	3.17501e-07	0.0896759	-0.155324
0.000568081	0.18325	0.091625	0.158699	-0.18325	3.24399e-07	0.0916244	-0.158699
0.000558081	0.187067	0.0935333	0.162004	-0.187067	3.31156e-07	0.0935328	-0.162005
0.000548081	0.190808	0.0954039	0.165244	-0.190808	3.37779e-07	0.0954033	-0.165245
0.000538081	0.194478	0.0972388	0.168423	-0.194478	3.44275e-07	0.0972382	-0.168423
0.000528081	0.19808	0.09904	0.171542	-0.19808	3.50652e-07	0.0990394	-0.171543
0.000518081	0.201619	0.100809	0.174607	-0.201619	3.56917e-07	0.100809	-0.174607
0.000508081	0.205097	0.102548	0.177619	-0.205097	3.63074e-07	0.102548	-0.17762
0.000498081	0.208518	0.104259	0.180582	-0.208518	3.6913e-07	0.104258	-0.180582
0.000488081	0.211884	0.105942	0.183497	-0.211884	3.75088e-07	0.105941	-0.183497
0.000478081	0.215197	0.107599	0.186366	-0.215197	3.80955e-07	0.107598	-0.186367
0.000468081	0.218461	0.109231	0.189193	-0.218461	3.86733e-07	0.10923	-0.189193
0.000458081	0.221678	0.110839	0.191978	-0.221678	3.92426e-07	0.110838	-0.191979
0.000448081	0.224848	0.112424	0.194724	-0.224848	3.98039e-07	0.112423	-0.194725
0.000438081	0.227975	0.113988	0.197432	-0.227975	4.03575e-07	0.113987	-0.197433
0.000428081	0.23106	0.11553	0.200104	-0.23106	4.09036e-07	0.115529	-0.200104
0.000418081	0.234105	0.117052	0.202741	-0.234105	4.14426e-07	0.117052	-0.202741
0.000408081	0.237111	0.118555	0.205344	-0.237111	4.19747e-07	0.118555	-0.205344
0.000398081	0.240079	0.12004	0.207915	-0.240079	4.25002e-07	0.120039	-0.207915
0.000388081	0.243012	0.121506	0.210454	-0.243012	4.30193e-07	0.121505	-0.210455
0.000378081	0.24591	0.122955	0.212964	-0.24591	4.35323e-07	0.122954	-0.212964
0.000368081	0.248774	0.124387	0.215444	-0.248774	4.40393e-07	0.124386	-0.215445
0.000358081	0.251606	0.125803	0.217897	-0.251606	4.45407e-07	0.125802	-0.217897
0.000348081	0.254406	0.127203	0.220322	-0.254406	4.50365e-07	0.127202	-0.220323
0.000338081	0.257177	0.128588	0.222722	-0.257177	4.55269e-07	0.128588	-0.222722
