dHydro_stress	Plot_devia_stress	X1	Y1	X2	Y2	X3	Y3
-68	74.2651	37.1326	64.3155	-74.2651	0.000131468	37.1323	-64.3156
-68.5	74.2611	37.1305	64.312	-74.2611	0.000131461	37.1303	-64.3121
-69	74.2491	37.1245	64.3016	-74.2491	0.00013144	37.1243	-64.3017
-69.5	74.229	37.1145	64.2842	-74.229	0.000131404	37.1143	-64.2843
-70	74.2009	37.1004	64.2598	-74.2009	0.000131355	37.1002	-64.26
-70.5	74.1647	37.0824	64.2285	-74.1647	0.000131291	37.0821	-64.2287
-71	74.1206	37.0603	64.1903	-74.1206	0.000131212	37.0601	-64.1904
-71.5	74.0684	37.0342	64.1451	-74.0684	0.00013112	37.034	-64.1452
-72	74.0081	37.0041	64.0929	-74.0081	0.000131013	37.0038	-64.0931
-72.5	73.9399	36.9699	64.0338	-73.9399	0.000130893	36.9697	-64.0339
-73	73.8636	36.9318	63.9677	-73.8636	0.000130758	36.9316	-63.9679
-73.5	73.7793	36.8896	63.8947	-73.7793	0.000130608	36.8894	-63.8949
-74	73.6869	36.8435	63.8147	-73.6869	0.000130445	36.8432	-63.8149
-74.5	73.5865	36.7933	63.7278	-73.5865	0.000130267	36.793	-63.7279
-75	73.4781	36.7391	63.6339	-73.4781	0.000130075	36.7388	-63.6341
-75.5	73.3617	36.6808	63.5331	-73.3617	0.000129869	36.6806	-63.5332
-76	73.2372	36.6186	63.4253	-73.2372	0.000129649	36.6184	-63.4254
-76.5	73.1047	36.5524	63.3105	-73.1047	0.000129414	36.5521	-63.3107
-77	72.9642	36.4821	63.1888	-72.9642	0.000129165	36.4819	-63.189
-77.5	72.8156	36.4078	63.0602	-72.8156	0.000128902	36.4076	-63.0603
-78	72.659	36.3295	62.9246	-72.659	0.000128625	36.3293	-62.9247
-78.5	72.4944	36.2472	62.782	-72.4944	0.000128334	36.247	-62.7821
-79	72.3218	36.1609	62.6325	-72.3218	0.000128028	36.1607	-62.6326
-79.5	72.1411	36.0705	62.476	-72.1411	0.000127708	36.0703	-62.4761
-80	71.9524	35.9762	62.3126	-71.9524	0.000127374	35.976	-62.3127
-80.5	71.7556	35.8778	62.1422	-71.7556	0.000127026	35.8776	-62.1423
-81	71.5508	35.7754	61.9648	-71.5508	0.000126663	35.7752	-61.965
-81.5	71.338	35.669	61.7805	-71.338	0.000126287	35.6688	-61.7807
-82	71.1172	35.5586	61.5893	-71.1172	0.000125896	35.5584	-61.5894
-82.5	70.8883	35.4442	61.3911	-70.8883	0.000125491	35.4439	-61.3912
-83	70.6514	35.3257	61.1859	-70.6514	0.000125071	35.3255	-61.1861
-83.5	70.4065	35.2033	60.9738	-70.4065	0.000124638	35.203	-60.9739
-84	70.1536	35.0768	60.7548	-70.1536	0.00012419	35.0766	-60.7549
-84.5	69.8926	34.9463	60.5287	-69.8926	0.000123728	34.9461	-60.5289
-85	69.6235	34.8118	60.2958	-69.6235	0.000123252	34.8116	-60.2959
-85.5	69.3465	34.6732	60.0558	-69.3465	0.000122761	34.673	-60.0559
-86	69.0614	34.5307	59.8089	-69.0614	0.000122256	34.5305	-59.8091
-86.5	68.7683	34.3842	59.5551	-68.7683	0.000121738	34.3839	-59.5552
-87	68.4672	34.2336	59.2943	-68.4672	0.000121204	34.2334	-59.2944
-87.5	68.158	34.079	59.0266	-68.158	0.000120657	34.0788	-59.0267
-88	67.8408	33.9204	58.7519	-67.8408	0.000120096	33.9202	-58.752
-88.5	67.5156	33.7578	58.4702	-67.5156	0.00011952	33.7576	-58.4703
-89	67.1823	33.5912	58.1816	-67.1823	0.00011893	33.5909	-58.1817
-89.5	66.841	33.4205	57.886	-66.841	0.000118326	33.4203	-57.8861
-90	66.4917	33.2458	57.5835	-66.4917	0.000117707	33.2456	-57.5836
-90.5	66.1343	33.0672	57.274	-66.1343	0.000117075	33.067	-57.2741
-91	65.769	32.8845	56.9576	-65.769	0.000116428	32.8843	-56.9577
-91.5	65.3955	32.6978	56.6342	-65.3955	0.000115767	32.6976	-56.6343
-92	65.0141	32.507	56.3039	-65.0141	0.000115092	32.5068	-56.304
-92.5	64.6246	32.3123	55.9666	-64.6246	0.000114402	32.3121	-55.9667
-93	64.2271	32.1136	55.6223	-64.2271	0.000113698	32.1134	-55.6224
-93.5	63.8216	31.9108	55.2711	-63.8216	0.000112981	31.9106	-55.2712
-94	63.408	31.704	54.913	-63.408	0.000112248	31.7038	-54.9131
-94.5	62.9864	31.4932	54.5478	-62.9864	0.000111502	31.493	-54.548
-95	62.5568	31.2784	54.1758	-62.5568	0.000110742	31.2782	-54.1759
-95.5	62.1191	31.0596	53.7968	-62.1191	0.000109967	31.0594	-53.7969
-96	61.6735	30.8367	53.4108	-61.6735	0.000109178	30.8365	-53.4109
-96.5	61.2197	30.6099	53.0178	-61.2197	0.000108375	30.6097	-53.018
-97	60.758	30.379	52.618	-60.758	0.000107557	30.3788	-52.6181
-97.5	60.2882	30.1441	52.2111	-60.2882	0.000106726	30.1439	-52.2112
-98	59.8104	29.9052	51.7973	-59.8104	0.00010588	29.905	-51.7974
-98.5	59.3246	29.6623	51.3766	-59.3246	0.00010502	29.6621	-51.3767
-99	58.8307	29.4153	50.9489	-58.8307	0.000104145	29.4152	-50.949
-99.5	58.3288	29.1644	50.5142	-58.3288	0.000103257	29.1642	-50.5143
-100	57.8189	28.9094	50.0726	-57.8189	0.000102354	28.9093	-50.0727
-100.5	57.3009	28.6504	49.624	-57.3009	0.000101437	28.6503	-49.6241
-101	56.7749	28.3875	49.1685	-56.7749	0.000100506	28.3873	-49.1686
-101.5	56.2409	28.1204	48.706	-56.2409	9.95608e-05	28.1203	-48.7061
-102	55.6988	27.8494	48.2366	-55.6988	9.86012e-05	27.8492	-48.2367
-102.5	55.1488	27.5744	47.7602	-55.1488	9.76274e-05	27.5742	-47.7603
-103	54.5906	27.2953	47.2769	-54.5906	9.66394e-05	27.2952	-47.277
-103.5	54.0245	27.0122	46.7866	-54.0245	9.56372e-05	27.0121	-46.7867
-104	53.4503	26.7252	46.2893	-53.4503	9.46208e-05	26.725	-46.2894
-104.5	52.8681	26.4341	45.7851	-52.8681	9.35901e-05	26.4339	-45.7852
-105	52.2779	26.1389	45.274	-52.2779	9.25453e-05	26.1388	-45.2741
-105.5	51.6796	25.8398	44.7559	-51.6796	9.14862e-05	25.8397	-44.756
-106	51.0733	25.5367	44.2308	-51.0733	9.04129e-05	25.5365	-44.2309
-106.5	50.459	25.2295	43.6988	-50.459	8.93254e-05	25.2293	-43.6989
-107	49.8366	24.9183	43.1598	-49.8366	8.82236e-05	24.9182	-43.1599
-107.5	49.2063	24.6031	42.6139	-49.2063	8.71077e-05	24.603	-42.614
-108	48.5678	24.2839	42.061	-48.5678	8.59775e-05	24.2838	-42.0611
-108.5	47.9214	23.9607	41.5011	-47.9214	8.48332e-05	23.9606	-41.5012
-109	47.2669	23.6335	40.9344	-47.2669	8.36746e-05	23.6333	-40.9344
-109.5	46.6044	23.3022	40.3606	-46.6044	8.25018e-05	23.3021	-40.3607
-110	45.9339	22.9669	39.7799	-45.9339	8.13147e-05	22.9668	-39.78
-110.5	45.2553	22.6277	39.1922	-45.2553	8.01135e-05	22.6275	-39.1923
-111	44.5687	22.2844	38.5976	-44.5687	7.8898e-05	22.2842	-38.5977
-111.5	43.8741	21.937	37.9961	-43.8741	7.76684e-05	21.9369	-37.9961
-112	43.1714	21.5857	37.3875	-43.1714	7.64245e-05	21.5856	-37.3876
-112.5	42.4607	21.2304	36.7721	-42.4607	7.51664e-05	21.2302	-36.7721
-113	41.742	20.871	36.1496	-41.742	7.38941e-05	20.8709	-36.1497
-113.5	41.0153	20.5076	35.5203	-41.0153	7.26075e-05	20.5075	-35.5203
-114	40.2805	20.1402	34.8839	-40.2805	7.13068e-05	20.1401	-34.884
-114.5	39.5377	19.7688	34.2406	-39.5377	6.99918e-05	19.7687	-34.2407
-115	38.7868	19.3934	33.5904	-38.7868	6.86626e-05	19.3933	-33.5904
-115.5	38.0279	19.014	32.9332	-38.0279	6.73192e-05	19.0139	-32.9332
-116	37.261	18.6305	32.269	-37.261	6.59616e-05	18.6304	-32.2691
-116.5	36.4861	18.2431	31.5979	-36.4861	6.45898e-05	18.2429	-31.598
-117	35.7031	17.8516	30.9198	-35.7031	6.32037e-05	17.8515	-30.9199
-117.5	34.9122	17.4561	30.2348	-34.9122	6.18035e-05	17.456	-30.2349
-118	34.1131	17.0566	29.5428	-34.1131	6.0389e-05	17.0565	-29.5429
-118.5	33.3061	16.653	28.8439	-33.3061	5.89603e-05	16.6529	-28.844
-119	32.491	16.2455	28.138	-32.491	5.75174e-05	16.2454	-28.1381
-119.5	31.6679	15.8339	27.4252	-31.6679	5.60603e-05	15.8338	-27.4252
-120	30.8367	15.4184	26.7054	-30.8367	5.45889e-05	15.4183	-26.7054
-120.5	29.9975	14.9988	25.9786	-29.9975	5.31034e-05	14.9987	-25.9787
-121	29.1503	14.5752	25.2449	-29.1503	5.16036e-05	14.5751	-25.245
-121.5	28.2951	14.1476	24.5043	-28.2951	5.00896e-05	14.1475	-24.5043
-122	27.4318	13.7159	23.7567	-27.4318	4.85614e-05	13.7158	-23.7567
-122.5	26.5605	13.2803	23.0021	-26.5605	4.7019e-05	13.2802	-23.0021
-123	25.6812	12.8406	22.2406	-25.6812	4.54623e-05	12.8405	-22.2406
-123.5	24.7939	12.3969	21.4721	-24.7939	4.38915e-05	12.3968	-21.4721
-124	23.8985	11.9492	20.6967	-23.8985	4.23064e-05	11.9492	-20.6967
-124.5	22.995	11.4975	19.9143	-22.995	4.07071e-05	11.4975	-19.9143
-125	22.0836	11.0418	19.125	-22.0836	3.90936e-05	11.0417	-19.125
-125.5	21.1641	10.5821	18.3287	-21.1641	3.74659e-05	10.582	-18.3287
-126	20.2366	10.1183	17.5254	-20.2366	3.5824e-05	10.1182	-17.5254
-126.5	19.3011	9.65053	16.7152	-19.3011	3.41678e-05	9.65047	-16.7152
-127	18.3575	9.17874	15.8981	-18.3575	3.24975e-05	9.17869	-15.8981
-127.5	17.4059	8.70294	15.0739	-17.4059	3.08129e-05	8.70289	-15.074
-128	16.4463	8.22313	14.2429	-16.4463	2.91141e-05	8.22308	-14.2429
-128.5	15.4786	7.7393	13.4049	-15.4786	2.74011e-05	7.73925	-13.4049
-129	14.5029	7.25145	12.5599	-14.5029	2.56738e-05	7.2514	-12.5599
-129.5	13.5192	6.75959	11.7079	-13.5192	2.39324e-05	6.75955	-11.708
-130	12.5274	6.26371	10.8491	-12.5274	2.21767e-05	6.26367	-10.8491
-130.5	11.5276	5.76382	9.98323	-11.5276	2.04069e-05	5.76378	-9.98325
-131	10.5198	5.25991	9.11043	-10.5198	1.86228e-05	5.25988	-9.11045
-131.5	9.50398	4.75199	8.23068	-9.50398	1.68245e-05	4.75196	-8.2307
-132	8.4801	4.24005	7.34398	-8.4801	1.5012e-05	4.24002	-7.344
-132.5	7.44819	3.7241	6.45032	-7.44819	1.31852e-05	3.72407	-6.45034
-133	6.40826	3.20413	5.54971	-6.40826	1.13443e-05	3.20411	-5.54972
-133.5	5.36029	2.68015	4.64215	-5.36029	9.48909e-06	2.68013	-4.64216
-134	4.30429	2.15215	3.72763	-4.30429	7.6197e-06	2.15213	-3.72763
-134.5	3.24027	1.62013	2.80615	-3.24027	5.7361e-06	1.62012	-2.80616
-135	2.16821	1.0841	1.87772	-2.16821	3.83828e-06	1.0841	-1.87773
-135.5	1.08812	0.544059	0.942339	-1.08812	1.92625e-06	0.544056	-0.94234
-136	-0	-0	-0	0	-0	-0	0
