dHydro_stress	Plot_devia_stress	X1	Y1	X2	Y2	X3	Y3
19.6248	0	0	0	-0	0	0	-0
19.1248	0.702662	0.351331	0.608523	-0.702662	1.24389e-06	0.351329	-0.608524
18.6248	1.39665	0.698326	1.20954	-1.39665	2.47243e-06	0.698322	-1.20954
18.1248	2.08228	1.04114	1.80331	-2.08228	3.68618e-06	1.04114	-1.80331
17.6248	2.75985	1.37993	2.3901	-2.75985	4.88565e-06	1.37992	-2.39011
17.1248	3.42964	1.71482	2.97015	-3.42964	6.07133e-06	1.71481	-2.97016
16.6248	4.0919	2.04595	3.54369	-4.0919	7.2437e-06	2.04594	-3.54369
16.1248	4.74688	2.37344	4.11092	-4.74688	8.4032e-06	2.37343	-4.11093
15.6248	5.39483	2.69741	4.67206	-5.39483	9.55022e-06	2.6974	-4.67207
15.1248	6.03595	3.01798	5.22729	-6.03595	1.06852e-05	3.01796	-5.2273
14.6248	6.67047	3.33524	5.7768	-6.67047	1.18084e-05	3.33522	-5.77681
14.1248	7.29858	3.64929	6.32076	-7.29858	1.29204e-05	3.64927	-6.32077
13.6248	7.92048	3.96024	6.85934	-7.92048	1.40213e-05	3.96021	-6.85935
13.1248	8.53634	4.26817	7.39269	-8.53634	1.51115e-05	4.26814	-7.3927
12.6248	9.14633	4.57317	7.92096	-9.14633	1.61914e-05	4.57314	-7.92097
12.1248	9.75063	4.87531	8.44429	-9.75063	1.72611e-05	4.87529	-8.44431
11.6248	10.3494	5.17469	8.96283	-10.3494	1.83211e-05	5.17466	-8.96285
11.1248	10.9427	5.47137	9.4767	-10.9427	1.93715e-05	5.47134	-9.47672
10.6248	11.5309	5.76543	9.98602	-11.5309	2.04126e-05	5.76539	-9.98604
10.1248	12.1139	6.05693	10.4909	-12.1139	2.14446e-05	6.05689	-10.4909
9.62482	12.6919	6.34594	10.9915	-12.6919	2.24679e-05	6.3459	-10.9915
9.12482	13.265	6.63252	11.4879	-13.265	2.34825e-05	6.63248	-11.4879
8.62482	13.8335	6.91673	11.9801	-13.8335	2.44888e-05	6.91669	-11.9802
8.12482	14.3973	7.19864	12.4684	-14.3973	2.54869e-05	7.19859	-12.4684
7.62482	14.9566	7.47828	12.9528	-14.9566	2.6477e-05	7.47824	-12.9528
7.12482	15.5115	7.75573	13.4333	-15.5115	2.74593e-05	7.75568	-13.4333
6.62482	16.0621	8.03103	13.9102	-16.0621	2.8434e-05	8.03098	-13.9102
6.12482	16.6085	8.30423	14.3833	-16.6085	2.94012e-05	8.30417	-14.3834
5.62482	17.1507	8.57537	14.853	-17.1507	3.03612e-05	8.57532	-14.853
5.12482	17.689	8.8445	15.3191	-17.689	3.13141e-05	8.84445	-15.3192
4.62482	18.2233	9.11167	15.7819	-18.2233	3.226e-05	9.11162	-15.7819
4.12482	18.7538	9.37692	16.2413	-18.7538	3.31991e-05	9.37686	-16.2413
3.62482	19.2806	9.64029	16.6975	-19.2806	3.41316e-05	9.64023	-16.6975
3.12482	19.8036	9.90182	17.1505	-19.8036	3.50575e-05	9.90176	-17.1505
2.62482	20.3231	10.1615	17.6003	-20.3231	3.59771e-05	10.1615	-17.6003
2.12482	20.839	10.4195	18.0471	-20.839	3.68904e-05	10.4194	-18.0471
1.62482	21.3515	10.6757	18.4909	-21.3515	3.77975e-05	10.6757	-18.4909
1.12482	21.8605	10.9303	18.9318	-21.8605	3.86987e-05	10.9302	-18.9318
0.62482	22.3662	11.1831	19.3697	-22.3662	3.9594e-05	11.1831	-19.3698
0.12482	22.8687	11.4344	19.8049	-22.8687	4.04835e-05	11.4343	-19.8049
-0.37518	23.368	11.684	20.2373	-23.368	4.13673e-05	11.6839	-20.2373
-0.87518	23.8641	11.9321	20.6669	-23.8641	4.22456e-05	11.932	-20.667
-1.37518	24.3572	12.1786	21.0939	-24.3572	4.31184e-05	12.1785	-21.094
-1.87518	24.8472	12.4236	21.5183	-24.8472	4.39859e-05	12.4235	-21.5184
-2.37518	25.3343	12.6671	21.9401	-25.3343	4.48481e-05	12.6671	-21.9402
-2.87518	25.8184	12.9092	22.3594	-25.8184	4.57052e-05	12.9091	-22.3594
-3.37518	26.2997	13.1498	22.7762	-26.2997	4.65572e-05	13.1498	-22.7762
-3.87518	26.7781	13.3891	23.1906	-26.7781	4.74042e-05	13.389	-23.1906
-4.37518	27.2538	13.6269	23.6025	-27.2538	4.82463e-05	13.6268	-23.6026
-4.87518	27.7268	13.8634	24.0121	-27.7268	4.90836e-05	13.8633	-24.0122
-5.37518	28.1971	14.0986	24.4194	-28.1971	4.99162e-05	14.0985	-24.4195
-5.87518	28.6648	14.3324	24.8245	-28.6648	5.07441e-05	14.3323	-24.8245
-6.37518	29.1299	14.565	25.2272	-29.1299	5.15674e-05	14.5649	-25.2273
-6.87518	29.5925	14.7962	25.6278	-29.5925	5.23863e-05	14.7961	-25.6279
-7.37518	30.0525	15.0263	26.0263	-30.0525	5.32007e-05	15.0262	-26.0263
-7.87518	30.5101	15.2551	26.4226	-30.5101	5.40108e-05	15.255	-26.4226
-8.37518	30.9653	15.4827	26.8167	-30.9653	5.48165e-05	15.4826	-26.8168
-8.87518	31.4181	15.7091	27.2089	-31.4181	5.56181e-05	15.709	-27.2089
-9.37518	31.8686	15.9343	27.599	-31.8686	5.64155e-05	15.9342	-27.599
-9.87518	32.3167	16.1583	27.9871	-32.3167	5.72088e-05	16.1582	-27.9871
-10.3752	32.7626	16.3813	28.3732	-32.7626	5.79981e-05	16.3812	-28.3733
-10.8752	33.2062	16.6031	28.7574	-33.2062	5.87835e-05	16.603	-28.7575
-11.3752	33.6476	16.8238	29.1397	-33.6476	5.95649e-05	16.8237	-29.1397
-11.8752	34.0869	17.0434	29.5201	-34.0869	6.03425e-05	17.0433	-29.5201
-12.3752	34.524	17.262	29.8986	-34.524	6.11163e-05	17.2619	-29.8987
-12.8752	34.9589	17.4795	30.2753	-34.9589	6.18863e-05	17.4794	-30.2754
-13.3752	35.3919	17.6959	30.6502	-35.3919	6.26527e-05	17.6958	-30.6503
-13.8752	35.8227	17.9114	31.0234	-35.8227	6.34154e-05	17.9112	-31.0234
-14.3752	36.2516	18.1258	31.3948	-36.2516	6.41745e-05	18.1257	-31.3948
-14.8752	36.6784	18.3392	31.7644	-36.6784	6.49302e-05	18.3391	-31.7645
-15.3752	37.1033	18.5516	32.1324	-37.1033	6.56823e-05	18.5515	-32.1324
-15.8752	37.5262	18.7631	32.4987	-37.5262	6.6431e-05	18.763	-32.4987
-16.3752	37.9472	18.9736	32.8633	-37.9472	6.71763e-05	18.9735	-32.8633
-16.8752	38.3664	19.1832	33.2262	-38.3664	6.79183e-05	19.1831	-33.2263
-17.3752	38.7836	19.3918	33.5876	-38.7836	6.8657e-05	19.3917	-33.5877
-17.8752	39.1991	19.5995	33.9474	-39.1991	6.93924e-05	19.5994	-33.9475
-18.3752	39.6127	19.8063	34.3056	-39.6127	7.01246e-05	19.8062	-34.3057
-18.8752	40.0245	20.0123	34.6623	-40.0245	7.08537e-05	20.0121	-34.6623
