Loading_State_Index	Ultimate_stress_1	Ultimate_stress_2	Ultimate_stress_3	Stress_1	Stress_2	Stress_3	Ultimate_strain_1	Ultimate_strain_2	Ultimate_strain_3	Strain_1	Strain_2	Strain_3
0	0	0	0	0	0	0	0	0	0	0	0	0
0	-68	0	0	1	0	0	-0.0028	0	0	-2.457e-05	7.37101e-06	7.37101e-06
0	-68	-1.01049e-07	1.95006e-07	2	8.32667e-17	1.11022e-16	-0.0028	-4.16085e-12	8.02964e-12	-4.92945e-05	1.47884e-05	1.47884e-05
0	-68	0	0	3	1.94289e-16	2.22045e-16	-0.0028	0	0	-7.44661e-05	2.23398e-05	2.23398e-05
0	-68	0	0	4	2.22045e-16	2.77556e-16	-0.0028	0	0	-0.000100321	3.00964e-05	3.00964e-05
0	-68	0	0	5	3.05311e-16	3.33067e-16	-0.0028	0	0	-0.000127012	3.81035e-05	3.81035e-05
0	-68	0	0	6	4.16334e-16	4.44089e-16	-0.0028	0	0	-0.000154588	4.63765e-05	4.63765e-05
0	-68	0	0	7	4.996e-16	4.996e-16	-0.0028	0	0	-0.000183007	5.49022e-05	5.49022e-05
0	-68	0	0	8	5.55112e-16	5.55112e-16	-0.0028	0	0	-0.00021215	6.3645e-05	6.3645e-05
0	-68	-1.01049e-07	1.95006e-07	9	5.55112e-16	5.55112e-16	-0.0028	-4.16085e-12	8.02964e-12	-0.000241857	7.2557e-05	7.2557e-05
0	-68	0	0	10	5.82867e-16	6.10623e-16	-0.0028	0	0	-0.000271959	8.15877e-05	8.15877e-05
0	-68	-1.01049e-07	1.95006e-07	11	6.10623e-16	6.10623e-16	-0.0028	-4.16085e-12	8.02964e-12	-0.000302307	9.06922e-05	9.06922e-05
0	-68	0	0	12	7.77156e-16	7.21645e-16	-0.0028	0	0	-0.000332785	9.98354e-05	9.98354e-05
0	-68	-1.01049e-07	1.95006e-07	13	9.99201e-16	9.4369e-16	-0.0028	-4.16085e-12	8.02964e-12	-0.000363312	0.000108994	0.000108994
0	-68	0	0	14	1.08247e-15	1.05471e-15	-0.0028	0	0	-0.000393842	0.000118153	0.000118153
0	-68	0	0	15	1.11022e-15	1.05471e-15	-0.0028	0	0	-0.000424351	0.000127305	0.000127305
0	-68	0	0	16	1.08247e-15	1.05471e-15	-0.0028	0	0	-0.000454829	0.000136449	0.000136449
0	-68	0	0	17	1.30451e-15	1.27676e-15	-0.0028	0	0	-0.000485274	0.000145582	0.000145582
0	-68	-1.01049e-07	1.95006e-07	18	1.33227e-15	1.33227e-15	-0.0028	-4.16085e-12	8.02964e-12	-0.00051569	0.000154707	0.000154707
0	-68	0	0	19	1.4988e-15	1.4988e-15	-0.0028	0	0	-0.00054608	0.000163824	0.000163824
0	-68	0	0	20	1.58207e-15	1.55431e-15	-0.0028	0	0	-0.000576449	0.000172935	0.000172935
0	-68	0	0	21	1.72085e-15	1.66533e-15	-0.0028	0	0	-0.000606802	0.000182041	0.000182041
0	-68	0	0	22	1.77636e-15	1.72085e-15	-0.0028	0	0	-0.000637144	0.000191143	0.000191143
0	-68	0	0	23	1.83187e-15	1.77636e-15	-0.0028	0	0	-0.00066748	0.000200244	0.000200244
0	-68	-1.01049e-07	1.95006e-07	24	1.94289e-15	1.88738e-15	-0.0028	-4.16085e-12	8.02964e-12	-0.000697816	0.000209345	0.000209345
0	-68	-1.01049e-07	1.95006e-07	25	2.08167e-15	1.9984e-15	-0.0028	-4.16085e-12	8.02964e-12	-0.000728158	0.000218447	0.000218447
0	-68	0	0	26	2.16493e-15	2.05391e-15	-0.0028	0	0	-0.000758512	0.000227554	0.000227554
0	-68	0	0	27	2.2482e-15	2.10942e-15	-0.0028	0	0	-0.000788883	0.000236665	0.000236665
0	-68	0	0	28	2.41474e-15	2.27596e-15	-0.0028	0	0	-0.000819278	0.000245784	0.000245784
0	-68	0	0	29	2.58127e-15	2.498e-15	-0.0028	0	0	-0.000849705	0.000254912	0.000254912
0	-68	0	0	30	2.7478e-15	2.60902e-15	-0.0028	0	0	-0.00088017	0.000264051	0.000264051
0	-68	0	0	31	2.69229e-15	2.498e-15	-0.0028	0	0	-0.000910681	0.000273204	0.000273204
0	-68	0	0	32	2.77556e-15	2.60902e-15	-0.0028	0	0	-0.000941245	0.000282374	0.000282374
0	-68	0	0	33	2.7478e-15	2.60902e-15	-0.0028	0	0	-0.000971872	0.000291562	0.000291562
0	-68	0	0	34	2.83107e-15	2.72005e-15	-0.0028	0	0	-0.00100257	0.000300771	0.000300771
0	-68	0	0	35	2.94209e-15	2.83107e-15	-0.0028	0	0	-0.00103335	0.000310005	0.000310005
0	-68	-2.96055e-07	3.90011e-07	36	2.96985e-15	2.83107e-15	-0.0028	-1.21905e-11	1.60593e-11	-0.00106422	0.000319265	0.000319265
0	-68	0	0	37	2.9976e-15	2.83107e-15	-0.0028	0	0	-0.00109519	0.000328557	0.000328557
0	-68	0	0	38	3.02536e-15	2.83107e-15	-0.0028	0	0	-0.00112627	0.000337881	0.000337881
0	-68	0	0	39	3.05311e-15	2.83107e-15	-0.0028	0	0	-0.00115748	0.000347244	0.000347244
0	-68	0	0	40	3.19189e-15	2.94209e-15	-0.0028	0	0	-0.00118882	0.000356647	0.000356647
0	-68	0	0	41	3.30291e-15	3.05311e-15	-0.0028	0	0	-0.00122032	0.000366097	0.000366097
0	-68	0	0	42	3.46945e-15	3.16414e-15	-0.0028	0	0	-0.00125199	0.000375596	0.000375596
0	-68	0	0	43	3.38618e-15	3.05311e-15	-0.0028	0	0	-0.00128383	0.00038515	0.00038515
0	-68	0	0	44	3.44169e-15	3.05311e-15	-0.0028	0	0	-0.00131588	0.000394764	0.000394764
0	-68	-1.01049e-07	1.95006e-07	45	3.46945e-15	3.05311e-15	-0.0028	-4.16085e-12	8.02964e-12	-0.00134814	0.000404443	0.000404443
0	-68	-2.43803e-07	3.3776e-07	46	3.46945e-15	3.05311e-15	-0.0028	-1.0039e-11	1.39078e-11	-0.00138065	0.000414194	0.000414194
0	-68	-2.43803e-07	3.3776e-07	47	3.52496e-15	3.05311e-15	-0.0028	-1.0039e-11	1.39078e-11	-0.00141341	0.000424024	0.000424024
0	-68	-1.81823e-07	2.7578e-07	48	3.4972e-15	3.05311e-15	-0.0028	-7.48684e-12	1.13556e-11	-0.00144646	0.000433939	0.000433939
0	-68	-1.81823e-07	2.7578e-07	49	3.69149e-15	3.27516e-15	-0.0028	-7.48684e-12	1.13556e-11	-0.00147983	0.000443948	0.000443948
