ult_hydro_stress	ult_devia_stress	ult_theta	ult_hydro_strain	ult_devia_strain	ult_theta_s
0	0	0	0	0	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
-39.2598	55.5218	60	-0.00161658	0.00228619	0
