Equiv_Stress_1	Equiv_Stress_2	Equiv_Stress_3	Equiv_strain_1	Equiv_strain_2	Equiv_strain_3
0.725996	-1.10023	1.05011	0.00877501	1.00629	0
0.704535	-1.07824	1.03912	0.0176052	1.01207	-1.69407e-21
0.643899	-1.01614	1.00807	0.026595	1.01642	-1.69407e-21
0.55522	-0.925303	0.962652	0.0358291	1.01875	-1.69407e-21
0.453099	-0.820701	0.910351	0.0453614	1.01895	-1.69407e-21
0.351465	-0.716598	0.858299	0.0552101	1.01736	-3.38813e-21
0.260765	-0.623694	0.811847	0.0653597	1.01461	-5.0822e-21
0.186978	-0.548115	0.774058	0.0757679	1.01136	-5.0822e-21
0.131996	-0.491797	0.745899	0.0863774	1.00821	-5.0822e-21
0.094656	-0.45355	0.726775	0.0971283	1.00558	-5.0822e-21
0.071954	-0.430297	0.715148	0.107967	1.00365	-5.0822e-21
0.0601464	-0.418202	0.709101	0.118852	1.00243	-5.0822e-21
0.0556091	-0.413555	0.706777	0.129754	1.0018	-8.47033e-21
0.0553709	-0.413311	0.706655	0.140658	1.00158	-8.47033e-21
0.0573149	-0.415302	0.707651	0.151554	1.00161	-8.47033e-21
0.0601186	-0.418174	0.709087	0.162439	1.00177	-8.47033e-21
0.0630557	-0.421182	0.710591	0.173312	1.00198	-1.18585e-20
0.0657752	-0.423968	0.711984	0.184175	1.00218	-8.47033e-21
0.0681264	-0.426376	0.713188	0.195029	1.00236	-1.18585e-20
0.0700494	-0.428346	0.714173	0.205875	1.0025	-1.18585e-20
0.0715183	-0.42985	0.714925	0.216715	1.00259	-1.52466e-20
0.0725167	-0.430873	0.715437	0.227551	1.00262	-1.69407e-20
0.0730287	-0.431397	0.715699	0.238386	1.00259	-1.86347e-20
0.0730368	-0.431406	0.715703	0.24922	1.00249	-2.03288e-20
0.0725217	-0.430878	0.715439	0.260057	1.0023	-2.20229e-20
0.0714619	-0.429793	0.714896	0.270897	1.00203	-2.37169e-20
0.0698342	-0.428125	0.714063	0.281744	1.00166	-2.5411e-20
0.067614	-0.425851	0.712926	0.292599	1.00118	-2.87991e-20
0.0647747	-0.422943	0.711472	0.303466	1.00059	-2.87991e-20
0.0612885	-0.419372	0.709686	0.314346	0.99987	-3.21873e-20
0.0571256	-0.415108	0.707554	0.325243	0.999012	-3.21873e-20
0.0522548	-0.410119	0.705059	0.336159	0.998004	-3.55754e-20
0.0466432	-0.404371	0.702186	0.347097	0.996836	-3.38813e-20
0.040256	-0.397829	0.698914	0.358061	0.995494	-3.04932e-20
0.0330567	-0.390454	0.695227	0.369053	0.993965	-3.38813e-20
0.0250065	-0.382209	0.691104	0.380078	0.992236	-3.55754e-20
0.0160649	-0.37305	0.686525	0.391139	0.990293	-3.55754e-20
0.00618877	-0.362934	0.681467	0.40224	0.988118	-3.38813e-20
-0.00466714	-0.351814	0.675907	0.413385	0.985698	-3.04932e-20
-0.0165509	-0.339642	0.669821	0.42458	0.983013	-3.04932e-20
-0.0295132	-0.326365	0.663182	0.435829	0.980047	-3.04932e-20
-0.043608	-0.311927	0.655964	0.447138	0.976778	-3.38813e-20
-0.0588924	-0.296272	0.648136	0.458512	0.973188	-3.21873e-20
-0.0754274	-0.279335	0.639667	0.469957	0.969252	-3.21873e-20
-0.0932778	-0.261051	0.630525	0.48148	0.964949	-3.38813e-20
-0.112513	-0.241349	0.620674	0.493088	0.960252	-3.04932e-20
-0.133207	-0.220152	0.610076	0.50479	0.955133	-3.21873e-20
-0.155439	-0.197379	0.59869	0.516594	0.949564	-3.38813e-20
